ztop,Temperature,AgeAICC
209.55,-0.19,6333.9
210.1,-1.3,6354.44
210.65,-1.55,6374.98
211.2,-0.38,6395.52
211.75,-1.37,6416.67
212.3,-0.76,6437.82
212.85,-0.47,6458.97
213.4,0.79,6478.29
213.95,-0.14,6497.62
214.5,-1.78,6516.94
215.05,-1.34,6538.11
215.6,0.81,6559.27
216.15,-0.48,6580.44
216.7,-1.27,6601.09
217.25,-0.71,6621.73
217.8,-2.27,6642.38
218.35,-0.22,6663.73
218.9,-1.5,6685.08
219.45,-2,6706.43
220,0.6,6726.49
220.55,0.23,6746.54
221.1,-0.28,6766.59
221.65,-1.47,6787.34
222.2,-1.31,6808.1
222.75,-1.2,6828.86
223.3,-1.07,6849.36
223.85,-0.59,6869.87
224.4,0.75,6890.37
224.95,-0.25,6909.13
225.5,0.99,6927.9
226.05,-0.73,6946.67
226.6,-0.8,6967.15
227.15,-1.23,6987.63
227.7,-0.49,7008.11
228.25,-0.29,7028.58
228.8,-1.44,7049.05
229.35,-0.94,7069.53
229.9,-0.66,7090.65
230.45,-1.11,7111.78
231,-1.16,7132.9
231.55,-0.39,7154.11
232.1,-1.91,7175.33
232.65,-3,7196.54
233.2,-1.32,7219.26
233.75,-0.93,7241.98
234.3,-1.82,7264.7
234.85,-1.56,7286.3
235.4,-1.43,7307.91
235.95,-0.4,7329.52
236.5,0.88,7348.99
237.05,-0.81,7368.47
237.6,-2.1,7387.94
238.15,-1.04,7409.91
238.7,-1.84,7431.88
239.25,-1.69,7453.85
239.8,-0.24,7475.43
240.35,-1.53,7497.01
240.9,-1.77,7518.59
241.45,-0.93,7539.02
242,0.03,7559.44
242.55,-0.93,7579.87
243.1,0.7,7599.07
243.65,-0.71,7618.27
244.2,0.83,7637.47
244.75,-1.14,7657.55
245.3,-1.71,7677.63
245.85,-0.82,7697.71
246.4,-0.46,7717.83
246.95,0.43,7737.94
247.5,-1.88,7758.06
248.05,-1.14,7778.09
248.6,0.79,7798.11
249.15,0.47,7818.14
249.7,-2.03,7838.5
250.25,-1.04,7858.87
250.8,-1.47,7879.23
251.35,-1.49,7899.72
251.9,-0.34,7920.21
252.45,0.26,7940.7
253,-0.56,7960.81
253.55,-1.06,7980.92
254.1,-1.24,8001.02
254.65,-1.41,8022.52
255.2,-1.25,8044.02
255.75,-2.19,8065.51
256.3,-0.87,8087.91
256.85,-3.09,8110.3
257.4,-1.13,8132.69
257.95,-0.65,8153.98
258.5,-1.4,8175.27
259.05,-2.04,8196.56
259.6,-2.54,8219.49
260.15,-2.25,8242.42
260.7,-1.31,8265.36
261.25,-1.71,8286.95
261.8,-0.77,8308.54
262.35,-1.35,8330.12
262.9,-1.43,8351.62
263.45,-1.26,8373.12
264,-1.24,8394.61
264.55,-2.4,8416.75
265.1,-1.69,8438.89
265.65,-1.89,8461.03
266.2,-1.4,8482.39
266.75,-0.74,8503.76
267.3,-0.7,8525.12
267.85,-0.85,8545.82
268.4,-2.79,8566.51
268.95,-0.74,8587.21
269.5,0.38,8607.79
270.05,-0.81,8628.37
270.6,-1.54,8648.95
271.15,0.02,8669.01
271.7,-1.22,8689.06
272.25,-1.13,8709.11
272.8,-0.7,8729.8
273.35,-1.6,8750.48
273.9,-1.55,8771.17
274.45,-0.84,8791.95
275,-1.29,8812.73
275.55,-0.44,8833.51
276.1,-2,8854.9
276.65,-1.62,8876.29
277.2,-0.93,8897.68
277.75,-0.19,8917.55
278.3,-0.9,8937.42
278.85,-0.86,8957.3
279.4,-0.86,8977.23
279.95,-1.13,8997.16
280.5,0.05,9017.1
281.05,-0.1,9036.97
281.6,-1.49,9056.85
282.15,-0.67,9076.72
282.7,-0.94,9096.68
283.25,-0.59,9116.64
283.8,-1.09,9136.6
284.35,-0.49,9157
284.9,-0.49,9177.41
285.45,-2.56,9197.82
286,-1.9,9218.75
286.55,-0.06,9239.68
287.1,-1.42,9260.62
287.65,0.11,9279.5
288.2,0.54,9298.38
288.75,-0.51,9317.27
289.3,-0.99,9337.26
289.85,-1.57,9357.26
290.4,-0.04,9377.26
290.95,-0.28,9396.65
291.5,-0.45,9416.05
292.05,-0.57,9435.45
292.6,-0.14,9454.41
293.15,-0.33,9473.38
293.7,0.24,9492.35
294.8,0.48,9528.72
295.35,-0.48,9546.9
295.9,-2.02,9567.05
296.45,-0.33,9587.2
297,-1.11,9607.35
297.55,0.04,9626.44
298.1,-0.75,9645.53
298.65,0.79,9664.62
299.2,-0.1,9683.59
299.75,-1.16,9702.55
300.3,-0.08,9721.51
300.85,-0.38,9739.94
301.4,1.11,9758.37
301.95,-0.04,9776.8
302.5,0.01,9794.96
303.05,0.45,9813.11
303.6,-0.07,9831.27
304.15,1.33,9848.91
304.7,0.62,9866.54
305.25,-2.4,9884.18
305.8,-0.13,9904.3
306.35,-0.2,9924.41
306.9,-1.57,9944.53
307.45,0.68,9963.54
308,-0.61,9982.56
308.55,0.15,10001.6
309.1,-0.65,10020.8
309.65,-0.97,10040
310.2,0.35,10059.3
310.75,-0.36,10078.3
311.3,-0.75,10097.3
311.85,0.26,10116.4
312.4,0.32,10134.8
312.95,-0.2,10153.2
313.5,0.29,10171.7
314.05,-1.18,10190.2
314.6,0.02,10208.7
315.15,1.39,10227.1
315.7,0.43,10245.3
316.25,-0.02,10263.5
316.8,-0.47,10281.7
317.35,0.38,10300.4
317.9,-0.2,10319.2
318.45,-1.08,10338
319,-1.38,10357.3
319.55,0.61,10376.7
320.1,-0.07,10396.1
320.65,-0.15,10414.9
321.2,0.12,10433.7
321.75,-1.76,10452.5
322.3,0.26,10472.2
322.85,-1.27,10491.9
323.4,-0.47,10511.6
323.95,-0.71,10531.6
324.5,-1.53,10551.5
325.05,0.31,10571.5
325.6,0.53,10589.2
326.15,1.16,10606.9
326.7,0.41,10624.6
327.25,-0.02,10641.6
327.8,2.12,10658.7
328.35,-1.23,10675.7
328.9,-0.12,10695.3
329.45,-0.55,10714.9
330,-0.88,10734.5
330.55,-0.64,10753.9
331.1,-0.51,10773.3
331.65,-0.27,10792.7
332.2,0.86,10811.7
332.75,-0.77,10830.6
333.3,-0.84,10849.5
333.85,-1.01,10869.5
334.4,-1.08,10889.5
334.95,-0.96,10909.5
335.5,-0.35,10928.8
336.05,-0.22,10948.1
336.6,0.25,10967.4
337.15,-0.51,10986.6
337.7,-1.36,11005.8
338.25,-0.8,11025
338.8,-0.33,11044.5
339.35,0.28,11063.9
339.9,-0.96,11083.3
340.45,-1.81,11103.6
341,-0.66,11123.8
341.55,-0.12,11144
342.1,-0.27,11162.8
342.65,0.3,11181.5
343.2,-0.08,11200.3
343.75,-1.45,11220
344.3,-1.14,11239.6
344.85,-0.47,11259.3
345.4,-1.41,11280
345.95,-1.62,11300.8
346.5,-0.93,11321.5
