y,x,z
2.810082927,-2.515,12.3056
2.811745437,-2.965,12.36575
2.775793853,-2.93,12.42695
2.774190004,-2.835,12.4893
2.741090055,-3.39,12.55275
2.739540868,-4.03,12.6173
2.683845512,-4.07,12.68375
2.682382454,-3.785,12.7521
2.713565382,-3.685,12.81945
2.715074816,-4.005,12.8857
2.663554961,-4.25,12.95365
2.663554961,-4.08,13.02335
2.701571235,-3.74,13.09175
2.70306266,-3.405,13.1588
2.733368009,-3.32,13.2248
2.73183073,-3.45,13.28985
2.706052198,-3.585,13.3558
2.706052198,-3.76,13.4226
2.682382454,-3.8,13.4902
2.680921534,-3.735,13.55865
2.695627681,-3.585,13.62665
2.694147296,-3.31,13.6942
2.724179583,-3.17,13.7608
2.724179583,-3.42,13.8264
2.652142569,-3.975,13.89445
2.650725134,-4.15,13.965
2.662121269,-3.795,14.0352
2.662121269,-3.42,14.105
2.718100537,-3.09,14.1729
2.716586532,-2.55,14.23895
2.796881415,-2.115,14.3025
2.795243413,-2.14,14.36355
2.790345444,-2.15,14.4248
2.791975436,-2.19,14.48615
2.763034509,-2.445,14.54835
2.764620553,-2.7,14.6114
2.719616837,-2.955,14.67585
2.718100537,-3.21,14.7418
2.675099101,-3.47,14.80925
2.673648774,-3.725,14.8782
2.63108916,-3.98,14.9487
2.63108916,-3.875,15.0207
2.653562016,-3.73,15.0919
2.652142569,-4.08,15.16235
2.61866664,-4.16,15.23405
2.617295838,-3.95,15.307
2.628315233,-4.03,15.3796
2.628315233,-4.33,15.4518
2.579656986,-4.6,15.5258
2.579656986,-4.56,15.6016
2.583622623,-4.55,15.67725
2.583622623,-4.99,15.75275
2.515778313,-5.36,15.8309
2.514541455,-5.2,15.91175
2.553613848,-4.905,15.9911
2.553613848,-4.775,16.0689
2.549765222,-4.945,16.14685
2.549765222,-5.43,16.22495
2.490120217,-5.655,16.30545
2.488914671,-5.52,16.3884
2.502256288,-5.505,16.47085
2.502256288,-5.43,16.55275
2.519498095,-5.32,16.63395
2.519498095,-5.77,16.71445
2.45457145,-6.09,16.79765
2.45457145,-5.87,16.88355
2.472187877,-5.915,16.9687
2.472187877,-6.21,17.0531
2.421368629,-6.54,17.1397
2.421368629,-6.81,17.2285
2.393604491,-6.88,17.31855
2.393604491,-6.81,17.40985
2.407945609,-6.755,17.5005
2.406835114,-6.87,17.59055
2.383795148,-7.065,17.6817
2.383795148,-7.325,17.7739
2.31364604,-7.91,17.86945
2.31364604,-8.42,17.96835
2.284745175,-8.275,18.0687
2.285727976,-7.82,18.17045
2.349676701,-7.565,18.269
2.349676701,-7.49,18.3644
2.335108285,-7.77,18.4605
2.336141877,-8.18,18.55725
2.320749064,-7.975,18.6547
2.319731252,-7.73,18.75295
2.338212271,-7.81,18.85035
2.338212271,-7.83,18.94685
2.345492594,-7.77,19.043
2.344449297,-7.735,19.13885
2.332013904,-7.97,19.23535
2.332013904,-8.41,19.33245
2.299589584,-8.395,19.43115
2.299589584,-8.025,19.53145
2.354931573,-7.815,19.62905
2.353878387,-7.855,19.724
2.3227878,-8.235,19.8205
2.3227878,-8.465,19.9185
2.296603021,-8.58,20.0178
2.296603021,-8.595,20.1184
2.349676701,-8.02,20.2164
2.349676701,-7.605,20.3118
2.365524893,-7.87,20.40645
2.365524893,-8.185,20.50035
2.345492594,-8.145,20.5952
2.344449297,-7.92,20.69105
2.3892329,-7.675,20.78485
2.388142981,-7.62,20.8766
2.368724895,-7.925,20.9693
2.36765709,-8.3,21.06295
2.310617265,-8.58,21.1594
2.309609708,-8.615,21.25865
2.308603165,-8.565,21.358
2.308603165,-8.3,21.4574
2.369793843,-7.805,21.55385
2.369793843,-7.73,21.64735
2.375155786,-7.68,21.7406
2.375155786,-7.67,21.8336
2.344449297,-7.965,21.92805
2.343407088,-8.095,22.024
2.32995629,-8.055,22.12065
2.32995629,-8.035,22.21795
2.327902901,-8,22.31535
2.327902901,-7.915,22.41285
2.32995629,-7.905,22.51025
2.32995629,-8.03,22.60755
2.304587096,-8.11,22.7061
2.305589602,-8.015,22.80585
2.314657674,-7.92,22.9051
2.314657674,-7.91,23.0039
2.304587096,-7.955,23.1032
2.304587096,-8.045,23.203
2.301585593,-7.91,23.30295
2.30058709,-7.545,23.4031
2.328929068,-7.51,23.5019
2.327902901,-7.95,23.59935
2.25094186,-8.285,23.70075
2.251891979,-8.225,23.806
2.255701507,-8.135,23.911
2.254747764,-8.28,24.01585
2.202739758,-8.615,24.12355
2.202739758,-8.82,24.23405
2.190149664,-8.635,24.34525
2.190149664,-8.375,24.45715
2.205458382,-8.335,24.5682
2.205458382,-8.41,24.6784
2.184802057,-8.485,24.78975
2.183913563,-8.555,24.9023
2.196424897,-8.28,25.0142
2.197324582,-7.945,25.12535
2.200931439,-8.21,25.23625
2.200931439,-8.65,25.34695
2.145581344,-8.845,25.4608
2.145581344,-8.95,25.5778
2.156754645,-8.775,25.69415
2.155890714,-8.15,25.8099
2.231195097,-7.98,25.9215
2.230264431,-8.415,26.02895
2.177716111,-8.63,26.13935
2.178599113,-8.63,26.2526
2.191938573,-8.535,26.36505
2.191938573,-8.35,26.47675
2.232126629,-8.145,26.58625
2.232126629,-7.95,26.69355
2.228405695,-8.275,26.80105
2.227477621,-9.035,26.9088
2.178599113,-8.925,27.0193
2.177716111,-7.995,27.13255
2.307597635,-7.52,27.23895
2.307597635,-7.505,27.33845
2.326877786,-7.375,27.437
2.32585372,-7.125,27.53465
2.34028696,-7.285,27.63165
2.34028696,-7.855,27.72795
2.278868566,-8.06,27.8273
2.278868566,-7.905,27.9297
2.310617265,-7.755,28.0305
2.311625838,-7.785,28.12965
2.289668868,-8.08,28.22985
2.289668868,-8.2,28.33115
2.310617265,-7.915,28.4314
2.311625838,-7.375,28.53055
2.396895772,-7.015,28.6256
