y,x,z
3.275927293,-1.195,8.78156
3.275927293,-1.065,8.80234
3.275927293,-0.865,8.82312
3.246994755,-1.22,8.844205
3.246994755,-1.81,8.865595
3.246994755,-1.275,8.886985
3.320707222,-0.56,8.907615
3.320707222,-0.545,8.927485
3.320204077,-0.88,8.94736
3.317692144,-0.86,8.967265
3.317692144,-0.995,8.987195
3.317190514,-0.54,9.00713
3.320707222,-0.025,9.027035
3.320204077,-0.795,9.04691
3.320707222,-1.08,9.066785
3.316188007,-0.805,9.0867
3.316188007,-0.765,9.10666
3.316188007,-0.84,9.12662
3.294383377,-0.79,9.1468
3.293893301,-0.49,9.167205
3.293893301,-1.525,9.187615
3.268734742,-2.23,9.208285
3.268734742,-0.98,9.229215
3.268257073,-0.74,9.25015
3.371815118,-0.655,9.27006
3.371815118,0.325,9.28894
3.371285597,0.015,9.307825
3.31468613,-0.75,9.327265
3.314186005,-1.28,9.34726
3.314186005,-0.805,9.36726
3.345160809,-0.16,9.386955
3.344645212,-0.365,9.40635
3.344645212,-0.51,9.42575
3.367586781,-0.355,9.44493
3.367059494,-0.235,9.463895
3.367059494,-0.045,9.482865
3.4093212,0.36,9.510535
3.409596189,0,9.53781
3.30671399,-1.25,9.556975
3.30671399,-1.175,9.577125
3.30671399,-0.72,9.597275
3.36075364,-0.535,9.616895
3.36075364,-0.355,9.635985
3.36075364,0.02,9.655075
3.367059494,0.345,9.674105
3.367586781,-0.63,9.69307
3.367586781,-0.62,9.71203
3.395938507,-0.23,9.730725
3.395938507,0.365,9.749155
3.395938507,0.535,9.767585
3.410696905,-0.015,9.78588
3.411247718,0.23,9.804035
3.410696905,0.19,9.82219
3.439749228,0.63,9.84009
3.440316282,0.975,9.857725
3.439749228,-0.89,9.87536
3.308203933,-1.265,9.89424
3.308701074,-0.165,9.914355
3.308203933,-0.885,9.93447
3.364953122,-0.445,9.954035
3.364427221,0.035,9.97305
3.363376249,-0.23,9.99208
3.355007999,-0.25,10.0112
3.355007999,-0.81,10.0304
3.349813182,-0.31,10.04965
3.365479299,-0.005,10.0688
3.365479299,-0.555,10.0878
3.360229943,-0.245,10.10685
3.397567614,0.29,10.1256
3.397567614,0.06,10.144
3.392147546,0.045,10.16245
3.392147546,-0.445,10.18095
3.392147546,-0.58,10.19945
3.397567614,0.705,10.2179
3.408496684,0.91,10.2362
3.408496684,0.205,10.2544
3.408496684,-0.245,10.2726
3.381394754,-0.045,10.29105
3.376061408,0.09,10.3098
3.376061408,-0.64,10.3286
3.349813182,-1.23,10.34765
3.344645212,-0.385,10.367
3.344645212,0.27,10.3864
3.376061408,-0.11,10.4055
3.376061408,-0.015,10.4243
3.376061408,-0.82,10.4431
3.329299642,-0.75,10.46235
3.329299642,-0.505,10.48205
3.329299642,-0.87,10.50175
3.314186005,-0.59,10.5216
3.319198546,-1.12,10.54155
3.314186005,-0.61,10.5615
3.436353639,0.42,10.58035
3.436353639,0.845,10.59805
3.436353639,0.785,10.61575
3.476704934,0.195,10.6331
3.470839815,1.05,10.65015
3.476704934,0.445,10.6672
3.334388712,-0.675,10.6855
3.334388712,-0.335,10.7051
3.334388712,-0.715,10.7247
3.344645212,-0.76,10.7442
3.344645212,-0.575,10.7636
3.344645212,-0.39,10.783
3.365479299,0.295,10.8022
3.370756356,0.045,10.82115
3.370756356,-0.805,10.84005
3.314186005,-0.925,10.8595
3.314186005,-1.045,10.8795
3.314186005,-1.02,10.8995
3.349813182,-0.655,10.91915
3.349813182,-0.285,10.93845
3.349813182,0.015,10.95775
3.355007999,-0.13,10.977
3.355007999,-0.935,10.9962
3.355007999,-1.08,11.0154
3.339503813,-0.565,11.03475
